;Order.q;Target;Emperical;s.e.;LCL;UCL;Assemblage
1;0;Diversity;6;0.822142547;3.985;7.535;S14
2;0.25;Diversity;5.529237942;0.769546098;3.683000432;6.94411416;S14
3;0.5;Diversity;5.106909445;0.730396351;3.414105852;6.383276871;S14
4;0.75;Diversity;4.7392972;0.703029087;3.181256065;5.964334973;S14
5;1;Diversity;4.427337466;0.684808593;2.98435993;5.70461021;S14
6;1.25;Diversity;4.167586508;0.672903593;2.820813342;5.495450788;S14
7;1.5;Diversity;3.953918608;0.664850087;2.686487954;5.310522335;S14
8;1.75;Diversity;3.779180011;0.658834992;2.576723653;5.148081978;S14
9;2;Diversity;3.636363636;0.653714274;2.505546197;5.005814222;S14
10;2.25;Diversity;3.519242845;0.648870699;2.4546395;4.881276548;S14
11;2.5;Diversity;3.422598728;0.644031888;2.41463122;4.772139562;S14
12;2.75;Diversity;3.342209531;0.639119396;2.382866814;4.676293042;S14
13;3;Diversity;3.274730613;0.634147886;2.357353909;4.591877885;S14
14;0;Entropy;5;1.009344099;2.96;6.96;S14
15;0.25;Entropy;3.47437039;0.635749996;2.179897347;4.66322487;S14
16;0.5;Entropy;2.519694434;0.418311413;1.672467424;3.263542972;S14
17;0.75;Entropy;1.901854212;0.285910904;1.330730036;2.389306758;S14
18;1;Entropy;1.48779838;0.201600057;1.092183852;1.822431672;S14
19;1.25;Entropy;1.200446087;0.145730354;0.917962389;1.43815146;S14
20;1.5;Entropy;0.994189574;0.107462833;0.784595064;1.159613247;S14
21;1.75;Entropy;0.841417782;0.080543325;0.680587773;0.959284438;S14
22;2;Entropy;0.725;0.06119357;0.59905;0.810675;S14
23;2.25;Entropy;0.63403044;0.047034735;0.533891896;0.697921173;S14
24;2.5;Entropy;0.561379664;0.036516513;0.480786014;0.60954501;S14
25;2.75;Entropy;0.502260921;0.028599933;0.436760699;0.5389094;S14
26;3;Entropy;0.453375;0.022572675;0.39972375;0.4815675;S14
27;0;Diversity;5;0.560247759;3.82;5.82;S18
28;0.25;Diversity;4.189779361;0.424669094;3.353125762;4.988172708;S18
29;0.5;Diversity;3.623076898;0.352272122;3.030986805;4.396339428;S18
30;0.75;Diversity;3.242252163;0.31465862;2.706951819;3.984384585;S18
31;1;Diversity;2.989149946;0.292344243;2.51586228;3.696458794;S18
32;1.25;Diversity;2.819169935;0.276407256;2.409595815;3.491015832;S18
33;1.5;Diversity;2.70237102;0.263640786;2.31927493;3.340369062;S18
34;1.75;Diversity;2.619801965;0.253005721;2.227869884;3.22683468;S18
35;2;Diversity;2.55967555;0.244122011;2.200481747;3.139148229;S18
36;2.25;Diversity;2.514623631;0.236768432;2.176359279;3.069998127;S18
37;2.5;Diversity;2.479962911;0.230749363;2.137063602;3.014500901;S18
38;2.75;Diversity;2.452649787;0.225873465;2.098152619;2.969291903;S18
39;3;Diversity;2.430657864;0.22195901;2.0670643;2.931983879;S18
40;0;Entropy;4;0.514682387;3.02;5.02;S18
41;0.25;Entropy;2.571316578;0.292491371;1.941955773;3.139553085;S18
42;0.5;Entropy;1.806876357;0.191790545;1.382697106;2.139734493;S18
43;0.75;Entropy;1.367495494;0.137404652;1.070467212;1.572541242;S18
44;1;Entropy;1.094989048;0.102677355;0.880634197;1.261053227;S18
45;1.25;Entropy;0.913049415;0.078339123;0.754586507;1.044929041;S18
46;1.5;Entropy;0.783372838;0.060578681;0.663736354;0.888815692;S18
47;1.75;Entropy;0.685836887;0.047375205;0.593485807;0.769919015;S18
48;2;Entropy;0.609325487;0.037442115;0.537179719;0.676337709;S18
49;2.25;Entropy;0.547361958;0.029889685;0.489034487;0.600879335;S18
50;2.5;Entropy;0.495963742;0.024084885;0.448139764;0.53884312;S18
51;2.75;Entropy;0.452551046;0.019573391;0.411311787;0.487033985;S18
52;3;Entropy;0.41537039;0.016027902;0.379671219;0.443204107;S18
53;0;Diversity;6;0.718274577;4.88;6.88;JTCP1
54;0.25;Diversity;4.833634281;0.54352212;3.891957249;5.697017119;JTCP1
55;0.5;Diversity;4.005012323;0.441292701;3.193630557;4.815867826;JTCP1
56;0.75;Diversity;3.43897591;0.390176235;2.717980939;4.182032828;JTCP1
57;1;Diversity;3.053440129;0.365623951;2.395238316;3.750720163;JTCP1
58;1.25;Diversity;2.784678452;0.352221448;2.149963415;3.447697397;JTCP1
59;1.5;Diversity;2.590637817;0.342938934;1.965691725;3.22071352;JTCP1
60;1.75;Diversity;2.445428317;0.3350403;1.825979438;3.074262531;JTCP1
61;2;Diversity;2.333333333;0.327572664;1.727002167;2.958371883;JTCP1
62;2.25;Diversity;2.244627262;0.320270169;1.654592593;2.863140789;JTCP1
63;2.5;Diversity;2.17306278;0.313115466;1.600173356;2.768128884;JTCP1
64;2.75;Diversity;2.114446458;0.306166825;1.558355231;2.686032758;JTCP1
65;3;Diversity;2.065842086;0.299491624;1.525618505;2.616572852;JTCP1
66;0;Entropy;5;0.832012559;3.265;6.04;JTCP1
67;0.25;Entropy;3.01321064;0.442478539;2.08223045;3.731863471;JTCP1
68;0.5;Entropy;2.002505377;0.262140714;1.466925063;2.494309005;JTCP1
69;0.75;Entropy;1.447124162;0.173073265;1.114902875;1.787997623;JTCP1
70;1;Entropy;1.116268866;0.125410508;0.880164957;1.358461164;JTCP1
71;1.25;Entropy;0.903534627;0.097320098;0.729985237;1.080875081;JTCP1
72;1.5;Entropy;0.757413459;0.078975608;0.616469652;0.891315711;JTCP1
73;1.75;Entropy;0.651508941;0.065855183;0.534570921;0.756573689;JTCP1
74;2;Entropy;0.571428571;0.055810841;0.473007015;0.656999362;JTCP1
75;2.25;Entropy;0.508821238;0.047766712;0.425380009;0.579086135;JTCP1
76;2.5;Entropy;0.458553129;0.041141266;0.387324043;0.517330608;JTCP1
77;2.75;Entropy;0.41730547;0.035589923;0.356123615;0.467254239;JTCP1
78;3;Entropy;0.382840971;0.030888493;0.33000316;0.425941885;JTCP1
79;0;Diversity;6;0.579936661;4.745;6.52;S1.3b
80;0.25;Diversity;5.047173688;0.395279065;4.181156574;5.584285925;S1.3b
81;0.5;Diversity;4.385389173;0.297944576;3.785542124;4.878628246;S1.3b
82;0.75;Diversity;3.926108171;0.250471567;3.522953083;4.36884072;S1.3b
83;1;Diversity;3.601698014;0.22798467;3.190617845;4.017506535;S1.3b
84;1.25;Diversity;3.366380196;0.216769325;2.934869272;3.775399248;S1.3b
85;1.5;Diversity;3.190726391;0.210433703;2.778165897;3.604515804;S1.3b
86;1.75;Diversity;3.056000553;0.206314906;2.6712075;3.446892041;S1.3b
87;2;Diversity;2.950115119;0.203366777;2.58450333;3.320094898;S1.3b
88;2.25;Diversity;2.865085627;0.201176895;2.514174817;3.219005655;S1.3b
89;2.5;Diversity;2.795496459;0.199561276;2.455588637;3.141064946;S1.3b
90;2.75;Diversity;2.737579557;0.198411548;2.406828237;3.079625249;S1.3b
91;3;Diversity;2.688652329;0.197643394;2.355856325;3.026377379;S1.3b
92;0;Entropy;5;0.537947725;4.42;5.42;S1.3b
93;0.25;Entropy;3.156445254;0.252986906;2.838985709;3.507687002;S1.3b
94;0.5;Entropy;2.188264162;0.142629436;1.98873845;2.460898218;S1.3b
95;0.75;Entropy;1.630546592;0.095056888;1.487738636;1.832632002;S1.3b
96;1;Entropy;1.281405405;0.070162717;1.179651001;1.429045197;S1.3b
97;1.25;Entropy;1.046960878;0.054334274;0.965883315;1.157793332;S1.3b
98;1.5;Entropy;0.880342449;0.042992231;0.810978794;0.964661932;S1.3b
99;1.75;Entropy;0.75646903;0.034396383;0.696103713;0.822752051;S1.3b
100;2;Entropy;0.661030177;0.027717169;0.608310354;0.71353603;S1.3b
101;2.25;Entropy;0.585381093;0.022460707;0.539693525;0.627169125;S1.3b
102;2.5;Entropy;0.524033567;0.018289085;0.484670741;0.557428919;S1.3b
103;2.75;Entropy;0.473350901;0.014955635;0.439584172;0.500133669;S1.3b
104;3;Entropy;0.430832718;0.012275467;0.401959419;0.452377107;S1.3b
105;0;Diversity;8;1.219568341;5.545;10.32;S3
106;0.25;Diversity;7.384998221;1.116818004;5.22046064;9.509904506;S3
107;0.5;Diversity;6.855294835;1.028964374;4.93074572;8.751114174;S3
108;0.75;Diversity;6.409108977;0.957074148;4.630252679;8.094518676;S3
109;1;Diversity;6.038672042;0.899913666;4.352474951;7.680764611;S3
110;1.25;Diversity;5.733150313;0.855338244;4.038345035;7.2629995;S3
111;1.5;Diversity;5.481103849;0.821123297;3.752749157;6.935418884;S3
112;1.75;Diversity;5.272015263;0.795191773;3.529958028;6.663493757;S3
113;2;Diversity;5.096969697;0.775659658;3.354736887;6.436204746;S3
114;2.25;Diversity;4.948776869;0.76089549;3.215029779;6.244249936;S3
115;2.5;Diversity;4.821808538;0.749573795;3.101804426;6.080143657;S3
116;2.75;Diversity;4.711732511;0.740682219;3.008468553;5.938039309;S3
117;3;Diversity;4.615239613;0.733485023;2.930253905;5.813450176;S3
118;0;Entropy;7;1.295045504;4.58;9.58;S3
119;0.25;Entropy;4.639790697;0.705596139;3.271761709;6.004761611;S3
120;0.5;Entropy;3.236523593;0.403907692;2.432527854;3.982622375;S3
121;0.75;Entropy;2.364428405;0.244972605;1.872245701;2.799092707;S3
122;1;Entropy;1.798184127;0.157677487;1.478045867;2.065838923;S3
123;1.25;Entropy;1.414993382;0.107012374;1.195720098;1.593595452;S3
124;1.5;Entropy;1.145728377;0.075723283;0.989726964;1.26761851;S3
125;1.75;Entropy;0.950106207;0.055232051;0.836662087;1.035993752;S3
126;2;Entropy;0.803804994;0.041152255;0.719845422;0.865326992;S3
127;2.25;Entropy;0.691615383;0.031125943;0.628601133;0.736081306;S3
128;2.5;Entropy;0.603702451;0.02380225;0.555623183;0.636090488;S3
129;2.75;Entropy;0.533506168;0.018355343;0.496075815;0.557256956;S3
130;3;Entropy;0.476526303;0.014250869;0.447256345;0.494115585;S3
